            Run           Lumi          Event
         327147            280      154444610
         327147            280      154423293
         327147            280      154831681
         327147            280      154529852
         327147            280      154566144
         327147            280      154795964
         327147            280      154601280
         327147            280      154305214
         327147            280      154325373
         327147            280      154601852
